Age,FL
4,403
4,381
4,382
4,414
4,387
4,353
4,397
4,384
4,388
4,384
4,405
4,423
4,356
4,342
4,458
4,355
4,384
4,365
4,368
4,360
4,371
4,395
4,401
4,390
4,402
4,387
4,388
4,349
4,339
4,368
4,369
4,362
4,395
4,405
4,400
4,371
4,393
4,375
4,403
4,374
4,368
4,391
4,378
4,387
4,389
4,400
4,445
4,375
4,434
4,375
4,362
4,404
4,402
4,354
4,397
4,400
4,423
4,443
4,375
4,361
4,379
4,354
4,394
4,445
4,420
4,500
4,408
4,425
4,332
4,365
4,360
4,420
4,385
4,382
4,410
4,406
4,410
4,435
4,362
4,370
4,410
4,380
4,355
4,380
4,395
4,390
4,390
4,406
4,398
4,383
4,451
4,399
4,397
4,445
4,352
4,440
4,451
4,450
4,470
4,383
4,421
4,456
4,430
4,393
4,424
4,342
4,388
4,390
4,422
4,435
4,442
4,335
4,373
4,380
4,382
4,388
4,387
4,363
4,409
4,387
4,374
4,353
4,421
4,399
4,429
4,393
4,356
4,411
4,373
4,410
4,313
4,375
4,395
4,430
4,351
4,435
4,393
4,395
4,355
4,450
4,380
4,386
4,396
4,382
4,395
4,429
4,401
4,346
4,508
4,358
4,375
4,427
4,374
4,476
4,378
4,457
4,444
4,416
4,450
4,392
4,405
4,384
4,392
4,375
4,428
4,390
4,408
4,388
4,372
4,397
4,374
4,368
4,393
4,408
4,416
4,370
4,375
4,423
4,357
4,372
4,363
4,357
4,404
4,396
4,378
4,370
4,390
4,390
4,405
4,405
4,377
4,384
4,350
4,394
4,433
4,400
4,354
4,374
4,380
4,385
4,387
4,370
4,363
4,372
4,360
4,350
4,346
4,379
4,383
4,393
4,416
4,424
4,366
4,419
4,331
4,376
4,390
4,372
4,407
4,413
4,393
4,385
4,397
4,425
4,370
4,450
4,405
4,445
4,444
4,380
4,362
4,406
4,414
4,340
4,391
4,322
4,342
4,386
4,444
4,453
4,404
4,363
4,465
4,385
4,356
4,358
4,380
4,365
4,386
4,384
4,309
4,370
4,364
4,398
4,385
4,412
4,379
4,407
4,395
4,371
4,435
4,387
4,381
4,405
4,418
4,361
4,350
4,452
4,353
4,359
4,374
4,475
4,398
4,415
4,410
4,376
4,391
4,421
4,381
4,410
4,424
4,416
4,406
4,374
4,423
4,400
4,430
4,345
4,435
4,450
4,384
