"","lake","month","date","depth","temp","pH","do_mgl","cond","do_sat","tempF"
"1","Otsego Lake","Jan","1/29/1988",0.1,0.39,7.88,12.7,0.3,NA,32.702
"2","Otsego Lake","Nov","11/8/2016",2,10.51,8.17,9.93,0.289,89.1,50.918
"3","Otsego Lake","Nov","11/8/2016",4,10.5,8.16,9.91,0.29,88.9,50.9
"4","Otsego Lake","Nov","11/8/2016",6,10.5,8.13,9.87,0.29,88.5,50.9
"5","Otsego Lake","Nov","11/8/2016",8,10.5,8.09,9.81,0.29,88,50.9
"6","Otsego Lake","Nov","11/8/2016",10,10.5,8.04,9.78,0.289,87.6,50.9
"7","Otsego Lake","Nov","11/8/2016",12,10.48,7.76,9.66,0.29,86.5,50.864
"8","Otsego Lake","Nov","11/8/2016",16,10.42,7.74,9.11,0.29,81.4,50.756
"9","Otsego Lake","Nov","11/8/2016",20,9,7.49,8.06,0.306,69.7,48.2
"10","Otsego Lake","Nov","11/8/2016",25,7,7.38,7.94,0.314,65.4,44.6
"11","Otsego Lake","Nov","11/8/2016",30,6.15,7.26,7.56,0.315,60.5,43.07
"12","Otsego Lake","Nov","11/8/2016",35,5.3,7.16,6.47,0.317,50.4,41.54
"13","Otsego Lake","Nov","11/8/2016",40,4.91,7.09,4.94,0.321,38.6,40.838
"14","Otsego Lake","Nov","11/8/2016",42,4.85,7.02,4.3,0.324,32.6,40.73
"15","Otsego Lake","Nov","11/8/2016",44,4.76,6.96,3.8,0.327,29.6,40.568
"16","Otsego Lake","Nov","11/8/2016",46,4.75,6.9,3.96,0.327,31,40.55
"17","Otsego Lake","Nov","11/8/2016",48,4.75,6.82,4.49,0.327,35.3,40.55
"18","Otsego Lake","Feb","2/5/1988",0.1,0.32,7.12,12.2,0.273,NA,32.576
"19","Otsego Lake","Oct","10/5/2016",2,18.35,8.1,9.11,0.274,97.1,65.03
"20","Otsego Lake","Oct","10/5/2016",4,18.34,8.06,9.11,0.274,97,65.012
"21","Otsego Lake","Oct","10/5/2016",6,18.34,8.06,9.1,0.274,96.8,65.012
"22","Otsego Lake","Oct","10/5/2016",8,18.34,8.08,9.08,0.274,96.8,65.012
"23","Otsego Lake","Oct","10/5/2016",10,18.33,8.08,9.08,0.274,96.6,64.994
"24","Otsego Lake","Oct","10/5/2016",12,16,8.09,8.88,0.3,90.3,60.8
"25","Otsego Lake","Oct","10/5/2016",14,9.96,8.04,9.22,0.31,81.3,49.928
"26","Otsego Lake","Oct","10/5/2016",16,8.33,7.96,9.12,0.31,77.9,46.994
"27","Otsego Lake","Oct","10/5/2016",18,7.62,7.86,9.25,0.309,77.3,45.716
"28","Otsego Lake","Oct","10/5/2016",20,7.21,7.8,9.2,0.309,76.2,44.978
"29","Otsego Lake","Oct","10/5/2016",25,6.38,7.75,9.23,0.31,74.8,43.484
"30","Otsego Lake","Oct","10/5/2016",30,5.81,7.73,9.29,0.31,74.3,42.458
"31","Otsego Lake","Oct","10/5/2016",35,5.25,7.71,9.05,0.312,71.6,41.45
"32","Otsego Lake","Oct","10/5/2016",40,4.98,7.68,8.75,0.314,68.5,40.964
"33","Otsego Lake","Oct","10/5/2016",42,4.85,7.67,7.73,0.316,60.7,40.73
"34","Otsego Lake","Oct","10/5/2016",44,4.77,7.66,7.17,0.317,56.1,40.586
"35","Otsego Lake","Oct","10/5/2016",46,4.69,7.62,6.36,0.32,50.1,40.442
"36","Otsego Lake","Oct","10/5/2016",48,4.65,7.62,5.06,0.323,40.5,40.37
"37","Otsego Lake","Feb","2/18/1988",0.1,0.88,8.01,13.5,0.271,NA,33.584
"38","Otsego Lake","Sep","9/14/2016",2,22.69,8.31,8.68,0.278,100.7,72.842
"39","Otsego Lake","Sep","9/14/2016",4,22.69,8.29,8.69,0.278,100.7,72.842
"40","Otsego Lake","Sep","9/14/2016",6,22.68,8.28,8.66,0.278,100.4,72.824
"41","Otsego Lake","Sep","9/14/2016",8,22.67,8.26,8.66,0.278,100.4,72.806
"42","Otsego Lake","Sep","9/14/2016",10,22.66,8.26,8.65,0.278,100.3,72.788
"43","Otsego Lake","Sep","9/14/2016",12,12.81,8.21,9.9,0.311,92.9,55.058
"44","Otsego Lake","Sep","9/14/2016",14,9.75,8.09,10.05,0.312,88.6,49.55
"45","Otsego Lake","Sep","9/14/2016",16,8.67,8.01,10.05,0.313,87.3,47.606
"46","Otsego Lake","Sep","9/14/2016",18,7.91,7.94,10.02,0.312,84.6,46.238
"47","Otsego Lake","Sep","9/14/2016",20,7.25,7.88,9.83,0.313,81.6,45.05
"48","Otsego Lake","Sep","9/14/2016",25,6.54,7.85,9.83,0.312,80.2,43.772
"49","Otsego Lake","Sep","9/14/2016",30,5.91,7.83,9.83,0.313,78.8,42.638
"50","Otsego Lake","Sep","9/14/2016",35,5.23,7.81,9.66,0.314,76.2,41.414
"51","Otsego Lake","Sep","9/14/2016",40,4.86,7.79,8.6,0.318,68.6,40.748
"52","Otsego Lake","Sep","9/14/2016",42,4.75,7.77,7.95,0.319,62.1,40.55
"53","Otsego Lake","Sep","9/14/2016",44,4.71,7.74,7.46,0.32,58.3,40.478
"54","Otsego Lake","Sep","9/14/2016",46,4.65,7.73,6.9,0.322,53.8,40.37
"55","Otsego Lake","Sep","9/14/2016",48,4.63,7.72,6.22,0.324,48.6,40.334
"56","Otsego Lake","Feb","2/26/1988",0.1,1.99,7.41,12.2,0.289,NA,35.582
"57","Otsego Lake","Aug","8/30/2016",2,23.86,8.4,8.73,0.285,103.5,74.948
"58","Otsego Lake","Aug","8/30/2016",4,23.85,8.41,8.72,0.286,103.4,74.93
"59","Otsego Lake","Aug","8/30/2016",6,23.81,8.41,8.71,0.286,103.1,74.858
"60","Otsego Lake","Aug","8/30/2016",8,23.7,8.4,8.67,0.286,102.5,74.66
"61","Otsego Lake","Aug","8/30/2016",10,17.38,8.13,10.46,0.308,109.4,63.284
"62","Otsego Lake","Aug","8/30/2016",12,12.03,7.84,10.19,0.314,94.8,53.654
"63","Otsego Lake","Aug","8/30/2016",14,9.74,7.73,10.66,0.314,93.8,49.532
"64","Otsego Lake","Aug","8/30/2016",16,8.12,7.64,10.49,0.314,88.9,46.616
"65","Otsego Lake","Aug","8/30/2016",18,7.38,7.6,10.34,0.315,85.9,45.284
"66","Otsego Lake","Aug","8/30/2016",20,7.01,7.56,10.24,0.315,84.5,44.618
"67","Otsego Lake","Aug","8/30/2016",25,6.23,7.53,9.83,0.316,79.7,43.214
"68","Otsego Lake","Aug","8/30/2016",30,5.65,7.53,10,0.317,79.7,42.17
"69","Otsego Lake","Aug","8/30/2016",35,5.07,7.52,9.55,0.317,75.1,41.126
"70","Otsego Lake","Aug","8/30/2016",40,4.75,7.47,8.54,0.32,66.5,40.55
"71","Otsego Lake","Aug","8/30/2016",42,4.69,7.45,8.17,0.321,63.5,40.442
"72","Otsego Lake","Aug","8/30/2016",44,4.63,7.42,7.47,0.322,58.2,40.334
"73","Otsego Lake","Aug","8/30/2016",46,4.57,7.36,6.28,0.326,48.1,40.226
"74","Otsego Lake","Aug","8/30/2016",48,4.57,7.33,5.93,0.326,46,40.226
"75","Otsego Lake","Mar","3/3/1988",0.1,0,7.92,14.7,0.236,NA,32
"76","Otsego Lake","Aug","8/18/2016",2,24.43,8.29,8.31,0.286,99.7,75.974
"77","Otsego Lake","Aug","8/18/2016",4,24.43,8.3,8.3,0.286,99.5,75.974
"78","Otsego Lake","Aug","8/18/2016",6,24.43,8.3,8.29,0.286,99.4,75.974
"79","Otsego Lake","Aug","8/18/2016",8,24.31,8.3,8.36,0.286,99.7,75.758
"80","Otsego Lake","Aug","8/18/2016",10,17.27,8.01,10.9,0.304,114,63.086
"81","Otsego Lake","Aug","8/18/2016",12,12.62,7.95,11.13,0.309,104.7,54.716
"82","Otsego Lake","Aug","8/18/2016",14,9.86,7.87,11.36,0.309,100.3,49.748
"83","Otsego Lake","Aug","8/18/2016",16,8.38,7.79,11.22,0.309,95.8,47.084
"84","Otsego Lake","Aug","8/18/2016",18,7.71,7.76,10.93,0.31,91.7,45.878
"85","Otsego Lake","Aug","8/18/2016",20,7.15,7.74,10.7,0.311,88.7,44.87
"86","Otsego Lake","Aug","8/18/2016",25,6.45,7.73,10.69,0.311,87.3,43.61
"87","Otsego Lake","Aug","8/18/2016",30,5.82,7.73,10.43,0.312,83.4,42.476
"88","Otsego Lake","Aug","8/18/2016",35,5.35,7.72,10.21,0.313,80.8,41.63
"89","Otsego Lake","Aug","8/18/2016",40,4.95,7.69,9.63,0.315,75.6,40.91
"90","Otsego Lake","Aug","8/18/2016",42,4.8,7.68,9.24,0.316,72.2,40.64
"91","Otsego Lake","Aug","8/18/2016",44,4.67,7.66,8.66,0.317,67.2,40.406
"92","Otsego Lake","Aug","8/18/2016",46,4.62,7.64,8.09,0.318,62.9,40.316
"93","Otsego Lake","Aug","8/18/2016",48,4.57,7.64,7.49,0.321,58.1,40.226
"94","Otsego Lake","Mar","3/11/1988",0.1,1.88,7.61,11.4,0.282,NA,35.384
"95","Otsego Lake","Aug","8/4/2016",2,23.68,8.4,8.65,0.289,102.2,74.624
"96","Otsego Lake","Aug","8/4/2016",4,23.67,8.41,8.66,0.289,102.3,74.606
"97","Otsego Lake","Aug","8/4/2016",6,23.65,8.4,8.67,0.289,102.4,74.57
"98","Otsego Lake","Aug","8/4/2016",8,22.55,8.35,9.54,0.294,109.6,72.59
"99","Otsego Lake","Aug","8/4/2016",10,16.68,8.3,11.51,0.303,118.2,62.024
"100","Otsego Lake","Aug","8/4/2016",12,10.76,8.18,12.11,0.307,109.3,51.368
"101","Otsego Lake","Aug","8/4/2016",14,9.25,8.08,11.74,0.308,102.2,48.65
"102","Otsego Lake","Aug","8/4/2016",16,8.14,8,11.46,0.308,97.2,46.652
"103","Otsego Lake","Aug","8/4/2016",18,7.49,7.98,10.8,0.31,90.2,45.482
"104","Otsego Lake","Aug","8/4/2016",20,7.06,7.94,11.02,0.31,90.9,44.708
"105","Otsego Lake","Aug","8/4/2016",25,6.14,7.89,10.75,0.31,86.7,43.052
"106","Otsego Lake","Aug","8/4/2016",30,5.71,7.87,10.52,0.311,84,42.278
"107","Otsego Lake","Aug","8/4/2016",35,5.2,7.86,10.19,0.312,80.3,41.36
"108","Otsego Lake","Aug","8/4/2016",40,4.85,7.84,9.09,0.315,71,40.73
"109","Otsego Lake","Aug","8/4/2016",42,4.77,7.86,8.73,0.316,68,40.586
"110","Otsego Lake","Aug","8/4/2016",44,4.66,7.87,8.61,0.316,66.9,40.388
"111","Otsego Lake","Aug","8/4/2016",46,4.57,7.91,8.15,0.318,63.2,40.226
"112","Otsego Lake","Aug","8/4/2016",48,4.55,7.98,7.97,0.319,61.9,40.19
"113","Otsego Lake","Mar","3/18/1988",0.1,0,7.82,12.7,0.267,NA,32
"114","Otsego Lake","Jul","7/19/2016",2,23.5,8.35,8.8,0.274,103.6,74.3
"115","Otsego Lake","Jul","7/19/2016",4,23.49,8.37,8.8,0.274,103.6,74.282
"116","Otsego Lake","Jul","7/19/2016",6,23.46,8.37,8.81,0.273,103.6,74.228
"117","Otsego Lake","Jul","7/19/2016",8,21.68,8.35,9.55,0.275,108.5,71.024
"118","Otsego Lake","Jul","7/19/2016",10,14.6,8.33,11.88,0.279,116.1,58.28
"119","Otsego Lake","Jul","7/19/2016",12,9.3,8.23,12.14,0.282,106.4,48.74
"120","Otsego Lake","Jul","7/19/2016",14,8.06,8.14,12.04,0.283,101.8,46.508
"121","Otsego Lake","Jul","7/19/2016",16,7.51,8.09,11.61,0.284,97,45.518
"122","Otsego Lake","Jul","7/19/2016",18,7.23,8.04,11.43,0.284,94.8,45.014
"123","Otsego Lake","Jul","7/19/2016",20,6.78,8.02,11.32,0.284,92.9,44.204
"124","Otsego Lake","Jul","7/19/2016",25,6.12,8,11.13,0.285,89.7,43.016
"125","Otsego Lake","Jul","7/19/2016",30,5.53,7.97,11.03,0.286,87.7,41.954
"126","Otsego Lake","Jul","7/19/2016",35,5.14,7.92,10.65,0.286,83.8,41.252
"127","Otsego Lake","Jul","7/19/2016",40,4.77,7.86,9.7,0.289,75.6,40.586
"128","Otsego Lake","Jul","7/19/2016",42,4.66,7.83,9.48,0.289,73.6,40.388
"129","Otsego Lake","Jul","7/19/2016",44,4.53,7.82,9.45,0.289,73.2,40.154
"130","Otsego Lake","Jul","7/19/2016",46,4.54,7.79,8.81,0.29,68.3,40.172
"131","Otsego Lake","Jul","7/19/2016",48,4.55,7.78,8.72,0.291,67.5,40.19
"132","Otsego Lake","Mar","3/25/1988",0.1,1.9,7.63,12.1,0.261,NA,35.42
"133","Otsego Lake","Jul","7/6/2016",2,22.17,8.25,9.08,0.299,104.1,71.906
"134","Otsego Lake","Jul","7/6/2016",4,21.6,8.29,9.19,0.299,104.3,70.88
"135","Otsego Lake","Jul","7/6/2016",6,21.29,8.31,9.14,0.299,103.2,70.322
"136","Otsego Lake","Jul","7/6/2016",8,16.36,8.31,11.54,0.299,117.7,61.448
"137","Otsego Lake","Jul","7/6/2016",10,13.6,8.28,12.05,0.3,1145.9,56.48
"138","Otsego Lake","Jul","7/6/2016",12,11.32,8.09,12.36,0.301,112.1,52.376
"139","Otsego Lake","Jul","7/6/2016",14,8.78,8.08,12.39,0.303,106.7,47.804
"140","Otsego Lake","Jul","7/6/2016",16,7.69,8.04,12.52,0.303,105,45.842
"141","Otsego Lake","Jul","7/6/2016",18,7.28,8.02,12.01,0.304,99.8,45.104
"142","Otsego Lake","Jul","7/6/2016",20,6.93,8.01,11.87,0.304,97.7,44.474
"143","Otsego Lake","Jul","7/6/2016",25,6.13,7.98,11.58,0.305,93.2,43.034
"144","Otsego Lake","Jul","7/6/2016",30,5.6,7.96,11.36,0.306,90.4,42.08
"145","Otsego Lake","Jul","7/6/2016",35,5.21,7.95,11.21,0.307,88.5,41.378
"146","Otsego Lake","Jul","7/6/2016",40,4.83,7.92,10.87,0.308,84.8,40.694
"147","Otsego Lake","Jul","7/6/2016",42,4.6,7.87,10.08,0.309,78.2,40.28
"148","Otsego Lake","Jul","7/6/2016",44,4.52,7.85,9.83,0.31,76.2,40.136
"149","Otsego Lake","Jul","7/6/2016",46,4.49,7.84,9.68,0.31,74.9,40.082
"150","Otsego Lake","Jul","7/6/2016",48,4.47,7.82,9.54,0.31,74,40.046
"151","Otsego Lake","Apr","4/5/1988",0.1,3.06,7.82,11.2,0.283,NA,37.508
"152","Otsego Lake","Jun","6/22/2016",2,20.17,8.44,9.61,0.306,106.1,68.306
"153","Otsego Lake","Jun","6/22/2016",4,20.07,8.42,9.84,0.306,108.5,68.126
"154","Otsego Lake","Jun","6/22/2016",6,18.27,8.44,10.56,0.305,112.1,64.886
"155","Otsego Lake","Jun","6/22/2016",8,15.89,8.41,10.99,0.305,111,60.602
"156","Otsego Lake","Jun","6/22/2016",10,14.2,8.33,11.26,0.306,111.7,57.56
"157","Otsego Lake","Jun","6/22/2016",12,10.38,8.24,12.33,0.307,110.3,50.684
"158","Otsego Lake","Jun","6/22/2016",14,9.09,8.16,12.38,0.307,107.3,48.362
"159","Otsego Lake","Jun","6/22/2016",16,8.17,8.06,12.16,0.308,103.2,46.706
"160","Otsego Lake","Jun","6/22/2016",18,7.44,8.04,12.09,0.308,100.7,45.392
"161","Otsego Lake","Jun","6/22/2016",20,6.84,8,11.97,0.309,98.1,44.312
"162","Otsego Lake","Jun","6/22/2016",25,6.08,7.96,11.62,0.311,93.6,42.944
"163","Otsego Lake","Jun","6/22/2016",30,5.59,7.92,11.54,0.311,91.2,42.062
"164","Otsego Lake","Jun","6/22/2016",35,4.94,7.88,11.14,0.313,87.2,40.892
"165","Otsego Lake","Jun","6/22/2016",40,4.58,7.82,10.9,0.314,84.5,40.244
"166","Otsego Lake","Jun","6/22/2016",42,4.52,7.79,10.36,0.315,80.2,40.136
"167","Otsego Lake","Jun","6/22/2016",44,4.43,7.78,10.09,0.316,77.8,39.974
"168","Otsego Lake","Jun","6/22/2016",46,4.42,7.78,10,0.316,77.2,39.956
"169","Otsego Lake","Jun","6/22/2016",48,4.41,7.8,9.97,0.316,77,39.938
"170","Otsego Lake","Apr","4/15/1988",0.1,4.01,7.79,11.1,0.271,NA,39.218
"171","Otsego Lake","Jun","6/7/2016",2,18.94,8.13,9.51,0.311,102.5,66.092
"172","Otsego Lake","Jun","6/7/2016",4,18.53,8.16,9.74,0.311,104.1,65.354
"173","Otsego Lake","Jun","6/7/2016",6,17.6,8.17,10.3,0.311,107.9,63.68
"174","Otsego Lake","Jun","6/7/2016",8,11.32,8.13,11.52,0.312,105.2,52.376
"175","Otsego Lake","Jun","6/7/2016",10,10.13,8.04,11.83,0.311,105.2,50.234
"176","Otsego Lake","Jun","6/7/2016",12,9.28,8.04,11.94,0.311,104,48.704
"177","Otsego Lake","Jun","6/7/2016",14,8.65,8.07,12.01,0.312,103.3,47.57
"178","Otsego Lake","Jun","6/7/2016",16,8.08,8.08,12.08,0.312,102.3,46.544
"179","Otsego Lake","Jun","6/7/2016",18,7.61,8.07,12.12,0.312,101.4,45.698
"180","Otsego Lake","Jun","6/7/2016",20,7.3,8.07,12.11,0.312,100.6,45.14
"181","Otsego Lake","Jun","6/7/2016",25,6.13,8.05,11.97,0.314,96.7,43.034
"182","Otsego Lake","Jun","6/7/2016",30,5.6,8.03,11.77,0.314,93.7,42.08
"183","Otsego Lake","Jun","6/7/2016",35,5.07,8,11.52,0.315,90.4,41.126
"184","Otsego Lake","Jun","6/7/2016",40,4.79,7.98,11.21,0.315,87.4,40.622
"185","Otsego Lake","Jun","6/7/2016",42,4.73,7.99,11.1,0.316,86.4,40.514
"186","Otsego Lake","Jun","6/7/2016",44,4.65,7.99,10.99,0.316,85.3,40.37
"187","Otsego Lake","Jun","6/7/2016",46,4.58,7.98,10.95,0.316,84.9,40.244
"188","Otsego Lake","Jun","6/7/2016",48,4.4,7.97,10.63,0.317,82.1,39.92
"189","Otsego Lake","Apr","4/21/1988",0.1,4.48,7.83,11.4,0.272,NA,40.064
"190","Otsego Lake","Jun","6/2/2016",2,17.88,8.01,10.37,0.311,109.4,64.184
"191","Otsego Lake","Jun","6/2/2016",4,17.82,8.11,10.36,0.311,109,64.076
"192","Otsego Lake","Jun","6/2/2016",6,13.99,8.07,11,0.31,107.1,57.182
"193","Otsego Lake","Jun","6/2/2016",8,10.91,8.06,11.37,0.311,109,51.638
"194","Otsego Lake","Jun","6/2/2016",10,10.15,8.06,11.6,0.31,104.3,50.27
"195","Otsego Lake","Jun","6/2/2016",12,9.16,8.03,11.82,0.31,105.2,48.488
"196","Otsego Lake","Jun","6/2/2016",14,7.61,8.06,11.97,0.31,105.4,45.698
"197","Otsego Lake","Jun","6/2/2016",16,NA,8.05,12.16,0.311,102.6,NA
"198","Otsego Lake","Apr","4/29/1988",0.1,5.03,7.88,11.1,0.271,NA,41.054
"199","Otsego Lake","May","5/19/2016",2,11.09,8.13,11.18,0.312,101.7,51.962
"200","Otsego Lake","May","5/19/2016",4,10.48,8.12,11.24,0.312,100.8,50.864
"201","Otsego Lake","May","5/19/2016",6,10.29,8.11,11.26,0.312,100.5,50.522
"202","Otsego Lake","May","5/19/2016",8,9.42,8.1,11.58,0.311,101.1,48.956
"203","Otsego Lake","May","5/19/2016",10,8.69,8.09,11.81,0.312,101.3,47.642
"204","Otsego Lake","May","5/19/2016",12,8.02,8.08,11.96,0.312,101,46.436
"205","Otsego Lake","May","5/19/2016",14,7.22,8.07,12.12,0.312,100.4,44.996
"206","Otsego Lake","May","5/19/2016",16,6.89,8.06,12.16,0.312,100,44.402
"207","Otsego Lake","May","5/19/2016",18,6.32,8.05,12.13,0.313,98.2,43.376
"208","Otsego Lake","May","5/19/2016",20,5.99,8.04,12.11,0.313,97.4,42.782
"209","Otsego Lake","May","5/19/2016",25,5.52,8.05,12.07,0.314,95.9,41.936
"210","Otsego Lake","May","5/19/2016",30,5.1,8.04,11.99,0.314,94.2,41.18
"211","Otsego Lake","May","5/19/2016",35,4.79,8.03,11.9,0.314,92.8,40.622
"212","Otsego Lake","May","5/19/2016",40,4.48,8.02,11.78,0.315,91.1,40.064
"213","Otsego Lake","May","5/19/2016",42,4.39,8.02,11.59,0.315,89.4,39.902
"214","Otsego Lake","May","5/19/2016",44,4.31,8,11.39,0.316,87.7,39.758
"215","Otsego Lake","May","5/19/2016",46,4.27,7.99,11.15,0.316,85.8,39.686
"216","Otsego Lake","May","5/19/2016",48,4.26,7.98,10.97,0.316,84.6,39.668
"217","Otsego Lake","May","5/5/1988",0.1,8.87,7.82,11.1,0.292,NA,47.966
"218","Otsego Lake","May","5/5/2016",2,8.16,7.93,12.04,0.316,102.1,46.688
"219","Otsego Lake","May","5/5/2016",4,8.14,7.95,12.04,0.316,102.1,46.652
"220","Otsego Lake","May","5/5/2016",6,8.12,7.95,12.04,0.316,102,46.616
"221","Otsego Lake","May","5/5/2016",8,7.71,7.97,12.12,0.316,101.6,45.878
"222","Otsego Lake","May","5/5/2016",10,7.47,7.97,12.14,0.316,101.3,45.446
"223","Otsego Lake","May","5/5/2016",12,6.51,7.98,12.23,0.317,99.9,43.718
"224","Otsego Lake","May","5/5/2016",14,6.27,7.97,12.24,0.317,99.2,43.286
"225","Otsego Lake","May","5/5/2016",16,5.88,7.95,12.25,0.317,98.3,42.584
"226","Otsego Lake","May","5/5/2016",18,5.66,7.96,12.25,0.317,97.7,42.188
"227","Otsego Lake","May","5/5/2016",20,5.4,7.95,12.24,0.317,96.9,41.72
"228","Otsego Lake","May","5/5/2016",25,5.21,7.96,12.17,0.317,95.9,41.378
"229","Otsego Lake","May","5/5/2016",30,5.07,7.96,12.11,0.317,95.1,41.126
"230","Otsego Lake","May","5/5/2016",35,4.96,7.96,12.02,0.317,94.1,40.928
"231","Otsego Lake","May","5/5/2016",40,4.82,7.97,11.96,0.317,93.3,40.676
"232","Otsego Lake","May","5/5/2016",42,4.41,7.96,11.78,0.318,91,39.938
"233","Otsego Lake","May","5/5/2016",44,4.29,7.96,11.74,0.319,90.4,39.722
"234","Otsego Lake","May","5/5/2016",46,4.27,7.95,11.69,0.319,89.9,39.686
"235","Otsego Lake","May","5/19/1988",0.1,9.86,8.05,10.7,0.294,NA,49.748
"236","Otsego Lake","Apr","4/14/2016",2,4.63,7.85,12.67,0.31,98.1,40.334
"237","Otsego Lake","Apr","4/14/2016",4,4.55,7.87,12.66,0.31,98,40.19
"238","Otsego Lake","Apr","4/14/2016",6,4.42,7.89,12.63,0.31,97.6,39.956
"239","Otsego Lake","Apr","4/14/2016",8,4.42,7.91,12.62,0.31,97.4,39.956
"240","Otsego Lake","Apr","4/14/2016",10,4.33,7.93,12.6,0.311,97,39.794
"241","Otsego Lake","Apr","4/14/2016",12,4.32,7.93,12.58,0.311,96.9,39.776
"242","Otsego Lake","Apr","4/14/2016",14,4.31,7.94,12.55,0.311,96.6,39.758
"243","Otsego Lake","Apr","4/14/2016",16,4.3,7.95,12.53,0.311,96.5,39.74
"244","Otsego Lake","Apr","4/14/2016",18,4.3,7.96,12.5,0.311,96.2,39.74
"245","Otsego Lake","Apr","4/14/2016",20,4.3,7.98,12.47,0.311,96,39.74
"246","Otsego Lake","Apr","4/14/2016",25,4.18,7.98,12.44,0.311,95.4,39.524
"247","Otsego Lake","Apr","4/14/2016",30,4.16,7.98,12.36,0.311,94.8,39.488
"248","Otsego Lake","Apr","4/14/2016",35,4.15,7.98,12.31,0.311,94.4,39.47
"249","Otsego Lake","Apr","4/14/2016",40,4.15,7.98,12.25,0.311,93.9,39.47
"250","Otsego Lake","Apr","4/14/2016",42,4.16,7.98,12.2,0.311,93.6,39.488
"251","Otsego Lake","Apr","4/14/2016",44,4.16,7.99,12.12,0.312,92.9,39.488
"252","Otsego Lake","Apr","4/14/2016",46,4.16,7.99,12.07,0.312,92.6,39.488
"253","Otsego Lake","Apr","4/14/2016",48,4.15,7.98,11.93,0.312,91.4,39.47
"254","Otsego Lake","May","5/25/1988",0.1,13.02,7.94,10.3,0.279,NA,55.436
"255","Otsego Lake","Dec","12/16/2015",2,6.92,8.02,10.85,0.305,89.3,44.456
"256","Otsego Lake","Dec","12/16/2015",4,6.92,8.02,10.85,0.305,89.3,44.456
"257","Otsego Lake","Dec","12/16/2015",6,6.92,8.03,10.83,0.305,89.1,44.456
"258","Otsego Lake","Dec","12/16/2015",8,6.92,8.03,10.81,0.305,89,44.456
"259","Otsego Lake","Dec","12/16/2015",10,6.91,8.04,10.79,0.305,88.8,44.438
"260","Otsego Lake","Dec","12/16/2015",12,6.92,8.04,10.76,0.305,88.6,44.456
"261","Otsego Lake","Dec","12/16/2015",14,6.92,8.04,10.75,0.305,88.5,44.456
"262","Otsego Lake","Dec","12/16/2015",16,6.91,8.05,10.75,0.305,88.4,44.438
"263","Otsego Lake","Dec","12/16/2015",18,6.91,8.05,10.73,0.305,88.3,44.438
"264","Otsego Lake","Dec","12/16/2015",20,6.91,8.05,10.7,0.305,88,44.438
"265","Otsego Lake","Dec","12/16/2015",25,6.91,8.04,10.68,0.305,87.8,44.438
"266","Otsego Lake","Dec","12/16/2015",30,6.67,8.02,10.46,0.306,85.4,44.006
"267","Otsego Lake","Dec","12/16/2015",35,5.73,7.8,8.06,0.322,64.3,42.314
"268","Otsego Lake","Dec","12/16/2015",40,4.62,7.64,5.11,0.331,39.7,40.316
"269","Otsego Lake","Dec","12/16/2015",42,4.49,7.59,4.38,0.333,33.9,40.082
"270","Otsego Lake","Dec","12/16/2015",44,4.49,7.55,3.81,0.333,29.5,40.082
"271","Otsego Lake","Dec","12/16/2015",46,4.49,7.52,3.72,0.333,28.8,40.082
"272","Otsego Lake","Dec","12/16/2015",48,4.49,7.51,3.71,0.334,28.7,40.082
"273","Otsego Lake","Jun","6/2/1988",0.1,16.12,8.04,9.7,0.29,NA,61.016
"274","Otsego Lake","Nov","11/30/2015",2,7.75,8.16,10.95,0.278,92,45.95
"275","Otsego Lake","Nov","11/30/2015",4,7.75,8.16,10.94,0.278,91.9,45.95
"276","Otsego Lake","Nov","11/30/2015",6,7.73,8.16,10.96,0.278,92,45.914
"277","Otsego Lake","Nov","11/30/2015",8,7.72,8.16,10.89,0.278,91.4,45.896
"278","Otsego Lake","Nov","11/30/2015",10,7.72,8.1,10.87,0.278,91.2,45.896
"279","Otsego Lake","Nov","11/30/2015",12,7.72,8.14,10.89,0.278,91.3,45.896
"280","Otsego Lake","Nov","11/30/2015",14,7.71,8.15,10.83,0.278,90.9,45.878
"281","Otsego Lake","Nov","11/30/2015",16,7.71,8.16,10.82,0.278,90.8,45.878
"282","Otsego Lake","Nov","11/30/2015",18,7.71,8.16,10.79,0.278,90.6,45.878
"283","Otsego Lake","Nov","11/30/2015",20,7.7,8.16,10.76,0.278,90.2,45.86
"284","Otsego Lake","Nov","11/30/2015",25,7.7,8.17,10.75,0.278,90.2,45.86
"285","Otsego Lake","Nov","11/30/2015",30,7.34,8.01,9.81,0.283,81.6,45.212
"286","Otsego Lake","Nov","11/30/2015",35,5.29,7.74,7.83,0.299,61.9,41.522
"287","Otsego Lake","Nov","11/30/2015",40,4.85,7.67,7.41,0.301,58,40.73
"288","Otsego Lake","Nov","11/30/2015",42,4.7,7.64,6.71,0.302,52.2,40.46
"289","Otsego Lake","Nov","11/30/2015",44,4.63,7.63,6.55,0.303,50.8,40.334
"290","Otsego Lake","Nov","11/30/2015",46,4.48,7.58,5.09,0.305,39.4,40.064
"291","Otsego Lake","Nov","11/30/2015",48,4.47,7.54,4.7,0.306,36.3,40.046
"292","Otsego Lake","Jun","6/8/1988",0.1,15.79,8.05,9.3,0.292,NA,60.422
"293","Otsego Lake","Nov","11/4/2015",2,10.91,8.43,10.38,0.288,94,51.638
